Name;Measure;Geo Type Name;Geo Place Name;Time Period
Nitrogen dioxide (NO2);Mean;UHF42;Williamsburg - Bushwick;Summer 2018
Nitrogen dioxide (NO2);Mean;UHF42;East New York;Summer 2014
Nitrogen dioxide (NO2);Mean;UHF34;Sunset Park;Winter 2014-15
Nitrogen dioxide (NO2);Mean;UHF34;Sunset Park;Annual Average 2017
Nitrogen dioxide (NO2);Mean;UHF34;Sunset Park;Annual Average 2021
Nitrogen dioxide (NO2);Mean;UHF34;Southeast Queens;Winter 2014-15
Nitrogen dioxide (NO2);Mean;CD;Upper West Side (CD7);Annual Average 2020
Nitrogen dioxide (NO2);Mean;CD;Rockaway and Broad Channel (CD14);Annual Average 2009
Nitrogen dioxide (NO2);Mean;CD;Rockaway and Broad Channel (CD14);Annual Average 2011
Nitrogen dioxide (NO2);Mean;CD;Rockaway and Broad Channel (CD14);Winter 2018-19
Nitrogen dioxide (NO2);Mean;UHF42;Pelham - Throgs Neck;Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF42;Williamsburg - Bushwick;Annual Average 2009
Nitrogen dioxide (NO2);Mean;UHF42;Upper West Side;Annual Average 2009
Nitrogen dioxide (NO2);Mean;UHF42;Upper West Side;Annual Average 2011
Nitrogen dioxide (NO2);Mean;UHF42;Upper West Side;Summer 2014
Nitrogen dioxide (NO2);Mean;UHF42;Upper West Side;Winter 2018-19
Nitrogen dioxide (NO2);Mean;UHF42;Upper West Side;Annual Average 2020
Nitrogen dioxide (NO2);Mean;Borough;Staten Island;Annual Average 2011
Nitrogen dioxide (NO2);Mean;CD;Upper West Side (CD7);Winter 2011-12
Nitrogen dioxide (NO2);Mean;CD;Upper West Side (CD7);Winter 2009-10
Nitrogen dioxide (NO2);Mean;UHF34;Borough Park;Annual Average 2011
Nitrogen dioxide (NO2);Mean;UHF34;Canarsie - Flatlands;Annual Average 2011
Nitrogen dioxide (NO2);Mean;UHF34;Canarsie - Flatlands;Annual Average 2009
Nitrogen dioxide (NO2);Mean;UHF34;Canarsie - Flatlands;Annual Average 2015
Nitrogen dioxide (NO2);Mean;UHF34;Long Island City - Astoria;Annual Average 2011
Nitrogen dioxide (NO2);Mean;UHF34;Long Island City - Astoria;Annual Average 2009
Nitrogen dioxide (NO2);Mean;UHF34;Long Island City - Astoria;Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF34;South Bronx;Annual Average 2020
Nitrogen dioxide (NO2);Mean;UHF34;South Bronx;Winter 2018-19
